kpoint	raw_unitarity_max_abs	polar_unitarity_max_abs	singular_value_max_abs_deviation	raw_wfc_reconstruction_relative_frobenius	polar_wfc_reconstruction_relative_frobenius	raw_vs_polar_transform_relative_frobenius	raw_vs_polar_velocity_maximum_absolute	raw_vs_polar_velocity_relative_frobenius	raw_vs_reference_velocity_maximum_absolute	raw_vs_reference_velocity_relative_frobenius	polar_vs_reference_velocity_maximum_absolute	polar_vs_reference_velocity_relative_frobenius
34	3.68360897340381900e-12	1.22124532708767219e-15	1.86839432814167594e-12	1.74593384446026176e-16	1.47714433105343069e-12	5.16019450404726329e-13	3.23968867097123120e-10	2.07340645416085794e-12	1.56942824598910363e+02	1.32408215948199293e+00	1.56942824599059236e+02	1.32408215948287999e+00
35	5.09148279093096789e-12	1.33226762955018824e-15	2.60258481432629196e-12	3.63934464910237849e-16	1.76398170757155138e-12	5.42309725692208992e-13	1.32786331587801235e-10	1.29221068014332907e-12	9.58381768174765369e+01	1.13368859455531923e+00	9.58381768174859872e+01	1.13368859455555082e+00
36	5.11657383128749643e-12	1.77635683940025046e-15	2.61657362443656893e-12	3.36800151072885583e-16	1.77374136101160183e-12	5.45195941931257449e-13	1.33337543723760119e-10	1.29990944830908061e-12	9.93499736168861176e+01	1.20585418724179871e+00	9.93499736168963068e+01	1.20585418724211957e+00
37	4.68136640563443507e-12	8.88178419700125232e-16	2.62545540863357019e-12	3.32334626687220214e-16	1.77316297701066886e-12	5.35206517188686707e-13	2.31722198531292205e-10	1.23879819561263918e-12	1.65981436919141601e+02	1.46277589841083899e+00	1.65981436919134552e+02	1.46277589841091782e+00
38	5.11457542984317115e-12	1.33226762955018824e-15	2.61612953522671887e-12	3.65237925685837518e-16	1.77320777095949756e-12	5.44773531696527916e-13	1.33334999608743400e-10	1.29834494999548881e-12	9.86136174934905085e+01	1.16809516934823709e+00	9.86136174935004419e+01	1.16809516934847224e+00
39	3.39550609851357876e-12	1.33226762955018785e-15	1.72095671047145515e-12	2.54035330298601587e-16	1.31074504397202995e-12	4.74115053577759383e-13	1.41509375364209400e-10	1.49659157706114939e-12	1.18948775434754111e+02	1.41940318411826927e+00	1.18948775434749976e+02	1.41940318411871202e+00
40	3.69970720726087166e-12	1.11022302462515654e-15	1.88871140949231631e-12	1.39070271225504227e-16	1.48743547834666894e-12	5.19616922301351629e-13	3.26353610699833798e-10	2.08911640493372546e-12	1.75613039815326317e+02	1.53338240437814788e+00	1.75613039815652684e+02	1.53338240437966467e+00
41	5.15099074505087628e-12	1.33226762955018824e-15	2.63322696980594628e-12	3.24602409933988957e-16	1.78433082236713056e-12	5.48121275692462880e-13	1.34190156442923672e-10	1.30598439516606532e-12	9.61627245868381948e+01	1.19317722614795785e+00	9.61627245868482561e+01	1.19317722614821675e+00
42	6.70996591622952110e-12	1.11022302462515654e-15	3.37319061571861312e-12	2.96523139258745086e-16	2.46743799152774060e-12	6.71359287513234558e-13	1.39316114250921629e-10	1.58696170538792221e-12	1.18178390613375086e+02	1.38423521089226687e+00	1.18178390613374617e+02	1.38423521089275159e+00
43	5.13922238098984963e-12	1.33226762955018785e-15	2.62745381007789547e-12	3.06795921313344220e-16	1.78188423360473632e-12	5.47793074524270466e-13	1.34461553329165078e-10	1.30776641595796568e-12	9.72062588904894938e+01	1.20052942377400473e+00	9.72062588904997256e+01	1.20052942377426830e+00
