kpoint	source_band	reference_band	dominant_amplitude	phase_residual	eigenvalue_difference_ha
11	6	6	1.00000000000000133e+00	1.09056424631350106e-08	1.67368879644413937e-07
11	7	7	9.99999999999999778e-01	2.21739525880690466e-09	1.71067016829784535e-07
11	8	8	1.00000000000000222e+00	1.02604541063526046e-08	2.34564086154520623e-07
11	9	9	9.99999999999999667e-01	1.00932322636183693e-08	2.41043642157379168e-07
11	10	10	1.00000000000000266e+00	8.51943895417453258e-09	2.68647054824100451e-07
11	11	11	9.99999999999999445e-01	2.83374697567665269e-09	2.68816624071632759e-07
11	12	12	1.00000000000000044e+00	1.50656734400676619e-08	3.40941484822110397e-07
11	13	13	9.99999999999999889e-01	1.13414469900161242e-08	3.45721439809487663e-07
11	14	14	9.99999999999999001e-01	4.83877876519793263e-09	3.53724386670251079e-07
11	15	15	9.99999999999999556e-01	1.82678586908232366e-08	3.66701023990501085e-07
11	16	16	9.99999999999995559e-01	1.26282710204452571e-08	3.89724090554821601e-07
11	17	17	1.00000000000000155e+00	2.21766711651442055e-08	4.21406203043872551e-07
11	18	18	9.99999999999999445e-01	2.11460070888850974e-09	4.36972626971510181e-07
11	19	19	9.99999999999991340e-01	5.84163559770797015e-09	5.01945860875707695e-07
11	20	20	1.00000000000000089e+00	4.86582616096521575e-09	5.81640457131271660e-07
11	21	21	9.99999999999976241e-01	2.56481097406235539e-08	6.22458656618363193e-07
11	22	22	1.00000000000030087e+00	8.60816633150041263e-09	1.24104625687238013e-06
11	23	23	9.99999999999996336e-01	4.59665375960711241e-10	1.42285082249671291e-06
11	24	24	1.00000000000066502e+00	5.82851761045580170e-08	1.57644877418761098e-06
11	25	25	1.00000000000260592e+00	3.26395818093627735e-08	1.76984777500166501e-06
12	0	0	9.99999999999998668e-01	2.17515219562723360e-08	-6.37669411163166444e-08
12	1	1	1.00000000000000000e+00	1.87101537731886870e-08	3.27231266389338415e-08
12	2	3	7.43578476889485418e-01	8.14065508300293783e-01	7.59736586419812454e-08
12	3	2	7.43578476889486639e-01	8.14065508297557416e-01	7.59749910761442493e-08
12	4	4	9.99999999999999778e-01	2.52770680003035658e-08	1.15801576883178825e-07
12	5	5	9.42929683304697397e-01	3.37847055994598966e-01	1.35926668753949542e-07
12	6	6	9.42929683304697397e-01	3.37847056031559623e-01	1.35936749745546592e-07
12	7	7	1.00000000000000688e+00	1.03618792256636044e-08	1.84331342412136223e-07
12	8	8	8.47777415977981508e-01	5.51765500934606523e-01	1.96916529637825022e-07
12	9	9	8.47777415977982507e-01	5.51765500826250865e-01	1.96925942552717004e-07
12	10	10	9.99999999999995781e-01	2.10695980256705845e-08	2.64879852496235912e-07
12	11	11	9.99999999999999445e-01	1.87875704845358879e-08	3.06288443718827352e-07
12	12	13	9.83790924115593102e-01	1.28115625981712089e+00	3.10484052135073796e-07
